\0/3  ↉
\leftarrowtail  ↢
\leftarrowtriangle  ⇽
\leftbkarrow  ⤌
\leftdasharrow  ⇠
\leftdbkarrow  ⤎
\leftharpoonaccent  ⃐
\leftharpoondown  ↽
\leftharpoonsupdown  ⥢
\leftharpoonup  ↼
\leftharpoonupdash  ⥪
\leftleftarrows  ⇇
\leftmoon  ☾
\leftouterjoin  ⟕
\leftrepeatsign  𝄆
\leftrightarrow  ↔
\leftrightarrowcircle  ⥈
\leftrightarrows  ⇆
\leftrightarrowtriangle  ⇿
\leftrightharpoondownup  ⥋
\leftrightharpoons  ⇋
\leftrightharpoonsdown  ⥧
\leftrightharpoonsup  ⥦
\leftrightharpoonupdown  ⥊
\leftrightsquigarrow  ↭
\leftsquigarrow  ⇜
\leftthreetimes  ⋋
\leftwavearrow  ↜
\leftwhitearrow  ⇦
\leo  ♌
\leq  ≤
\leqq  ≦
\leqqslant  ⫹
\leqslant  ⩽
\lescc  ⪨
\lesdot  ⩿
\lesdoto  ⪁
\lesdotor  ⪃
\lesges  ⪓
\lessapprox  ⪅
\lessdot  ⋖
\lesseqgtr  ⋚
\lesseqqgtr  ⪋
\lessgtr  ≶
\lesssim  ≲
\lfloor  ⌊
\lgE  ⪑
\lgwhtcircle  ◯
\libra  ♎
\linefeed  ↴
\ll  ≪
\llarc  ◟
\llblacktriangle  ◣
\llbracket  ⟦
\llcorner  ⌞
\lllnest  ⫷
\lltriangle  ◺
\lmoustache  ⎰
\lmrk  ː
\lnapprox  ⪉
\lneq  ⪇
\lneqq  ≨
\lnsim  ⋦
\longleftarrow  ⟵
\longleftrightarrow  ⟷
\longmapsfrom  ⟻
\longmapsto  ⟼
\longrightarrow  ⟶
\longrightsquigarrow  ⟿
\looparrowleft  ↫
\looparrowright  ↬
\low  ˕
\lowint  ⨜
\lozenge  ◊
\lpargt  ⦠
\lq  ‘
\lrarc  ◞
\lrblacktriangle  ◢
\lrcorner  ⌟
\lrtriangle  ◿
\lrtriangleeq  ⧡
\lsime  ⪍
\lsimg  ⪏
\lsqhook  ⫍
\ltcc  ⪦
\ltcir  ⩹
\ltimes  ⋉
\ltlmr  ɱ
\ltln  ɲ
\ltphi  ɸ
\ltquest  ⩻
\lvboxline  ⎸
\lvertneqq  ≨︀
\male  ♂
\maltese  ✠
\mapsdown  ↧
\mapsfrom  ↤
\mapsto  ↦
\mapsup  ↥
\mars  ♂
\mdblksquare  ◼
\mdlgblkcircle  ●
\mdlgblkdiamond  ◆
\mdlgwhtdiamond  ◇
\mdsmblksquare  ◾
\mdsmwhtsquare  ◽
\mdwhtsquare  ◻
\measangledltosw  ⦯
\measangledrtose  ⦮
\measangleldtosw  ⦫
\measanglelutonw  ⦩
\measanglerdtose  ⦪
\measanglerutone  ⦨
\measangleultonw  ⦭
\measangleurtone  ⦬
\measeq  ≞
\measuredangle  ∡
\measuredangleleft  ⦛
\mercury  ☿
\mho  ℧
\mid  ∣
\midbarvee  ⩝
\midbarwedge  ⩜
\minhat  ⩟
\minus  −
\minusdot  ⨪
\minusfdots  ⨫
\minusrdots  ⨬
\mlcp  ⫛
\models  ⊧
\modtwosum  ⨊
\mp  ∓
\mu  μ
\multimap  ⊸
\nBumpeq  ≎̸
\nHdownarrow  ⇟
\nHuparrow  ⇞
\nLeftarrow  ⇍
\nLeftrightarrow  ⇎
\nRightarrow  ⇏
\nVDash  ⊯
\nVdash  ⊮
\nVleftarrow  ⇺
\nVleftrightarrow  ⇼
\nVrightarrow  ⇻
\nVrightarrowtail  ⤕
\nVtwoheadrightarrow  ⤁
\nVtwoheadrightarrowtail  ⤘
\nabla  ∇
\nand  ⊼
\napprox  ≉
\nasymp  ≭
\natural  ♮
\nbumpeq  ≏̸
\ncong  ≇
\ne  ≠
\nearrow  ↗
\neg  ¬
\neovnwarrow  ⤱
\neovsearrow  ⤮
\neptune  ♆
\neq  ≠
\neqsim  ≂̸
\nequiv  ≢
\nexists  ∄
\ng  ŋ
\ngeq  ≱
\ngeqslant  ⩾̸
\ngtr  ≯
\ngtrsim  ≵
\ni  ∋
\niobar  ⋾
\nis  ⋼
\nisd  ⋺
\nleftarrow  ↚
\nleftrightarrow  ↮
\nleq  ≰
\nleqslant  ⩽̸
\nless  ≮
\nlesssim  ≴
\nmid  ∤
\nni  ∌
\nor  ⊽
\not  ̸ "̸"
\notbackslash  ⍀
\notgreaterless  ≹
\notin  ∉
\notlessgreater  ≸
\notslash  ⌿
\nparallel  ∦
\npolint  ⨔
\nprec  ⊀
\npreccurlyeq  ⋠
\npreceq  ⪯̸
\nprecsim  ≾̸
\nrightarrow  ↛
\nrleg  ƞ
\nsim  ≁
\nsime  ≄
\nsqsubseteq  ⋢
\nsqsupseteq  ⋣
\nsubset  ⊄
\nsubseteq  ⊈
\nsubseteqq  ⫅̸
\nsucc  ⊁
\nsucccurlyeq  ⋡
\nsucceq  ⪰̸
\nsuccsim  ≿̸
\nsupset  ⊅
\nsupseteq  ⊉
\nsupseteqq  ⫆̸
\ntriangleleft  ⋪
\ntrianglelefteq  ⋬
\ntriangleright  ⋫
\ntrianglerighteq  ⋭
\nu  ν
\numero  №
\nvDash  ⊭
\nvLeftarrow  ⤂
\nvLeftrightarrow  ⤄
\nvRightarrow  ⤃
\nvdash  ⊬
\nvleftarrow  ⇷
\nvleftrightarrow  ⇹
\nvrightarrow  ⇸
\nvrightarrowtail  ⤔
\nvtwoheadrightarrow  ⤀
\nvtwoheadrightarrowtail  ⤗
\nwarrow  ↖
\nwovnearrow  ⤲
\o  ø
\obar  ⌽
\obslash  ⦸
\odiv  ⨸
\odot  ⊙
\odotslashdot  ⦼
\oe  œ
\ogreaterthan  ⧁
\ohm  Ω
\oiiint  ∰
\oiint  ∯
\oint  ∮
\ointctrclockwise  ∳
\oldKoppa  Ϙ
\oldkoppa  ϙ
\olessthan  ⧀
\omega  ω
\omicron  ο
\ominus  ⊖
\openbracketleft  ⟦
\openbracketright  ⟧
\openo  ɔ
\oplus  ⊕
\opluslhrim  ⨭
\oplusrhrim  ⨮
\ordfeminine  ª
\ordmasculine  º
\original  ⊶
\oslash  ⊘
\otimes  ⊗
\otimeshat  ⨶
\otimeslhrim  ⨴
\otimesrhrim  ⨵
\overbrace  ⏞
\overbracket  ⎴
\overleftarrow  ⃖
\overleftrightarrow  ⃡
\parallel  ∥
\parallelogram  ▱
\parallelogramblack  ▰
\partial  ∂
\partialmeetcontraction  ⪣
\pbgam  ɤ
\perspcorrespond  ⩞
\pertenthousand  ‱
\perthousand  ‰
\pes  ₧
\pgamma  ɣ
\phi  ϕ
\pi  π
\pisces  ♓
\pitchfork  ⋔
\planck  ℎ
\plusdot  ⨥
\pluseqq  ⩲
\plushat  ⨣
\plussim  ⨦
\plussubtwo  ⨧
\plustrif  ⨨
\pluto  ♇
\pm  ±
\pointint  ⨕
\postalmark  〒
\pppprime  ⁗
\ppprime  ‴
\pprime  ″
\prec  ≺
\precapprox  ⪷
\preccurlyeq  ≼
\preceq  ⪯
\preceqq  ⪳
\precnapprox  ⪹
\precneq  ⪱
\precneqq  ⪵
\precnsim  ⋨
\precsim  ≾
\prime  ′
\prod  ∏
\profline  ⌒
\profsurf  ⌓
\propto  ∝
\prurel  ⊰
\pscrv  ʋ
\psi  ψ
\pupsil  ʊ
\quarternote  ♩
\questeq  ≟
\questiondown  ¿
\rLarr  ⥄
\rais  ˔
\rangle  ⟩
\rarrx  ⥇
\rasp  ʼ
\rceil  ⌉
\rdiagovfdiag  ⤫
\rdiagovsearrow  ⤰
\rdq  ”
\reapos  ‛
\recorder  ⌕
\reglst  ʕ
\revangle  ⦣
\revangleubar  ⦥
\revemptyset  ⦰
\rfloor  ⌋
\rho  ρ
\rightangle  ∟
\rightanglearc  ⊾
\rightanglemdot  ⦝
\rightarrow  →
\rightarrowbar  ⇥
\rightarrowdiamond  ⤞
\rightarrowplus  ⥅
\rightarrowtail  ↣
\rightarrowtriangle  ⇾
\rightdasharrow  ⇢
\rightdotarrow  ⤑
\rightharpoonaccent  ⃑
\rightharpoondown  ⇁
\rightharpoonsupdown  ⥤
\rightharpoonup  ⇀
\rightharpoonupdash  ⥬
\rightleftarrows  ⇄
\rightleftharpoons  ⇌
\rightleftharpoonsdown  ⥩
\rightleftharpoonsup  ⥨
\rightmoon  ☽
\rightouterjoin  ⟖
\rightrepeatsign  𝄇
\rightrightarrows  ⇉
\rightsquigarrow  ⇝
\rightthreearrows  ⇶
\rightthreetimes  ⋌
\rightwavearrow  ↝
\rightwhitearrow  ⇨
\ringplus  ⨢
\risingdotseq  ≓
\rl  ɼ
\rmoustache  ⎱
\rppolint  ⨒
\rq  ’
\rrbracket  ⟧
\rsolbar  ⧷
\rsqhook  ⫎
\rtimes  ⋊
\rtld  ɖ
\rtll  ɭ
\rtln  ɳ
\rtlr  ɽ
\rtls  ʂ
\rtlt  ʈ
\rtlz  ʐ
\rttrnr  ɻ
\rvboxline  ⎹
\rvbull  ◘
\sagittarius  ♐
\sampi  ϡ
\sansLmirrored  ⅃
\sansLturned  ⅂
\saturn  ♄
\sblhr  ˓
\sbrhr  ˒
\schwa  ə
\scorpio  ♏
\scpolint  ⨓
\scurel  ⊱
\searrow  ↘
\seovnearrow  ⤭
\setminus  ∖
\sharp  ♯
\sharpsharp  𝄪
\shuffle  ⧢
\sigma  σ
\sim  ∼
\simeq  ≃
\simgE  ⪠
\simgtr  ⪞
\simlE  ⪟
\simless  ⪝
\simminussim  ⩬
\simplus  ⨤
\simrdots  ⩫
\sinewave  ∿
\smallblacktriangleleft  ◂
\smallblacktriangleright  ▸
\smallin  ∊
\smallni  ∍
\smalltriangleleft  ◃
\smalltriangleright  ▹
\smashtimes  ⨳
\smblksquare  ▪
\smeparsl  ⧤
\smile  ⌣
\smt  ⪪
\smte  ⪬
\smwhtcircle  ◦
\smwhtsquare  ▫
\sout  ̶
\spadesuit  ♠
\sphericalangle  ∢
\sphericalangleup  ⦡
\sqcap  ⊓
\sqcup  ⊔
\sqfl  ◧
\sqfnw  ┙
\sqfr  ◨
\sqfse  ◪
\sqlozenge  ⌑
\sqrint  ⨖
\sqrtbottom  ⎷
\sqsubset  ⊏
\sqsubseteq  ⊑
\sqsubsetneq  ⋤
\sqsupset  ⊐
\sqsupseteq  ⊒
\sqsupsetneq  ⋥
\square  □
\squarecrossfill  ▩
\squarehfill  ▤
\squarehvfill  ▦
\squarellquad  ◱
\squarelrquad  ◲
\squareneswfill  ▨
\squarenwsefill  ▧
\squareulblack  ◩
\squareulquad  ◰
\squareurquad  ◳
\squarevfill  ▥
\squoval  ▢
\ss  ß
\star  ⋆
\starequal  ≛
\sterling  £
\stigma  ϛ
\subedot  ⫃
\submult  ⫁
\subset  ⊂
\subsetapprox  ⫉
\subsetdot  ⪽
\subseteq  ⊆
\subseteqq  ⫅
\subsetneq  ⊊
\subsetneqq  ⫋
\subsetplus  ⪿
\subsim  ⫇
\subsub  ⫕
\subsup  ⫓
\succ  ≻
\succapprox  ⪸
\succcurlyeq  ≽
\succeq  ⪰
\succeqq  ⪴
\succnapprox  ⪺
\succneq  ⪲
\succneqq  ⪶
\succnsim  ⋩
\succsim  ≿
\sum  ∑
\sumint  ⨋
\sun  ☼
\supdsub  ⫘
\supedot  ⫄
\suphsub  ⫗
\supmult  ⫂
\supset  ⊃
\supsetapprox  ⫊
\supsetdot  ⪾
\supseteq  ⊇
\supseteqq  ⫆
\supsetneq  ⊋
\supsetneqq  ⫌
\supsetplus  ⫀
\supsim  ⫈
\supsub  ⫔
\supsup  ⫖
\surd  √
\swarrow  ↙
\tau  τ
\taurus  ♉
\tdcol  ⫶
\tesh  ʧ
\th  þ
\therefore  ∴
\theta  θ
\threeunderdot  ⃨
\tieconcat  ⁀
\tildelow  ˜
\tildetrpl  ≋
\times  ×
\timesbar  ⨱
\to  →
\toea  ⤨
\tona  ⤧
\top  ⊤
\topbot  ⌶
\topsemicircle  ◠
\tosa  ⤩
\towa  ⤪
\trademark  ™
\trianglecdot  ◬
\triangledown  ▿
\triangleleft  ◁
\triangleleftblack  ◭
\trianglelefteq  ⊴
\triangleminus  ⨺
\triangleplus  ⨹
\triangleq  ≜
\triangleright  ▷
\trianglerightblack  ◮
\trianglerighteq  ⊵
\triangletimes  ⨻
\tricolon  ⁝
\tripleplus  ⧻
\trna  ɐ
\trnh  ɥ
\trnm  ɯ
\trnmlr  ɰ
\trnr  ɹ
\trnrl  ɺ
\trnsa  ɒ
\trnt  ʇ
\trny  ʎ
\turnangle  ⦢
\turnediota  ℩
\turnednot  ⌙
\turnk  ʞ
\twocaps  ⩋
\twocups  ⩊
